title,link,watched
Урок 56. Алгоритм решения задач динамики,https://www.youtube.com/watch?v=BrRGq6omXss&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=59,Yes
Урок 57. Решение задач динамики,https://www.youtube.com/watch?v=bFOu8-UGJGw&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=60,Yes
Урок 58. Сила упругости. Закон Гука,https://www.youtube.com/watch?v=5JBDAAhFctI&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=61,Yes
Урок 59. Задачи на закон Гука,https://www.youtube.com/watch?v=xKI6ybF7o_k&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=62,Yes
Урок 60. Закон всемирного тяготения. Гравитационная постоянная,https://www.youtube.com/watch?v=TQUIIGeozbQ&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=63,Yes
Урок 61. Задачи на закон всемирного тяготения,https://www.youtube.com/watch?v=urI0IZtpxkY&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=64,Yes
Урок 62. Сила тяжести и вес тела. Невесомость.,https://www.youtube.com/watch?v=vWs4MIZTEwM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=65,Yes
Урок 63. Перегрузка. Вес тела на полюсе и на экваторе,https://www.youtube.com/watch?v=b3mA6iMGAQI&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=66,Yes
Урок 64. Искусственные спутники Земли. Первая космическая скорость. Геостационарная орбита,https://www.youtube.com/watch?v=xQOns-yfmJI&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=67,Yes
Урок 65. Движение планет. Законы Кеплера,https://www.youtube.com/watch?v=CcklMu9ZXJk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=68,Yes
Урок 66. Задачи на вычисление веса тела,https://www.youtube.com/watch?v=WCYKWVWMT-U&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=69,Yes
Урок 67. Сила трения,https://www.youtube.com/watch?v=zi3omRrfurg&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=70,Yes
Урок 68. Явления в неинерциальных системах отсчета,https://www.youtube.com/watch?v=_dTUdJfeixk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=71,Yes
Урок 69. Консультация перед зачетом,https://www.youtube.com/watch?v=FixGw1dJYEc&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=72,Yes
